Date	Time	Open	High	Low	Close	TickVol	Vol	Spread
2024.12.11	07:00:00	97689.57	97790.36	97248.87	97334.6	0	0	0
2024.12.11	08:00:00	97334.59	98472.57	97316.78	98109.9	0	0	0
2024.12.11	09:00:00	98109.9	98171.35	97757.44	97999.99	0	0	0
2024.12.11	10:00:00	98000	98301.17	97862.66	98214.29	0	0	0
2024.12.11	11:00:00	98214.29	98450	98137.09	98292.61	0	0	0
2024.12.11	12:00:00	98292.61	98493.04	98164.02	98236	0	0	0
2024.12.11	13:00:00	98236	98865.47	98072.33	98736.86	0	0	0
2024.12.11	14:00:00	98736.86	99539.29	98369.82	99515.98	0	0	0
2024.12.11	15:00:00	99515.99	100800	99414.72	100361.64	0	0	0
2024.12.11	16:00:00	100361.64	101090.9	100295.61	100575.99	0	0	0
2024.12.11	17:00:00	100576	100982.07	99660.15	99781.9	0	0	0
2024.12.11	18:00:00	99781.89	100786.3	99608.23	100388.71	0	0	0
2024.12.11	19:00:00	100388.72	101141.01	100388.71	101122.71	0	0	0
2024.12.11	20:00:00	101122.71	101674.72	101024.75	101271.56	0	0	0
2024.12.11	21:00:00	101271.57	101536.7	100866.42	101520.12	0	0	0
2024.12.11	22:00:00	101520.13	101888	101180.63	101209.74	0	0	0
2024.12.11	23:00:00	101209.74	101500	101068.25	101125	0	0	0
2024.12.12	00:00:00	101125	101200	100559.71	100772.46	0	0	0
2024.12.12	01:00:00	100772.47	100861.98	100331.61	100496.3	0	0	0
2024.12.12	02:00:00	100496.3	101824.77	100496.3	101824.76	0	0	0
2024.12.12	03:00:00	101824.77	101829	100792	101025.87	0	0	0
2024.12.12	04:00:00	101025.88	101191.85	100572	100675.7	0	0	0
2024.12.12	05:00:00	100675.7	101136.92	100617.64	100618.86	0	0	0
2024.12.12	06:00:00	100618.87	100701.24	100402.82	100584.37	0	0	0
2024.12.12	07:00:00	100584.37	100828.16	100496.47	100499.99	0	0	0
2024.12.12	08:00:00	100499.99	101049.36	100470.58	100980	0	0	0
2024.12.12	09:00:00	100979.99	101126.54	100794.11	100814.07	0	0	0
2024.12.12	10:00:00	100814.06	100814.07	100473.14	100579.44	0	0	0
2024.12.12	11:00:00	100579.44	100637.97	100178.32	100358.42	0	0	0
2024.12.12	12:00:00	100358.42	100944	100348.35	100828	0	0	0
2024.12.12	13:00:00	100828	101545.78	100540.74	100911.99	0	0	0
2024.12.12	14:00:00	100912	101749.74	100629.41	101702.04	0	0	0
2024.12.12	15:00:00	101702.04	101861.6	100700.07	101797.14	0	0	0
2024.12.12	16:00:00	101797.14	102540	101462.49	101462.49	0	0	0
2024.12.12	17:00:00	101462.49	101700	101227.27	101617.65	0	0	0
2024.12.12	18:00:00	101617.64	101657.75	100831	100857.59	0	0	0
2024.12.12	19:00:00	100857.59	101052.77	99311.64	99481.32	0	0	0
2024.12.12	20:00:00	99481.33	100464.73	99465.33	100028.01	0	0	0
